name,old_price,new_price,change_percent
FENTY BEAUTY Diamond Bomb - Pink Ice (8 g),3580.0,4475.0,25.0
Smashbox Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25 - Medium (40ml),2737.0,3650.0,33.36
FENTY BEAUTY Match Stix Matte Contour Skinstick - Truffle (7.1 g),2740.0,3425.0,25.0
Too Faced Cloud Crush Blush - Head in the clouds (5 g),2400.0,3000.0,25.0
Smashbox Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25 - Light Medium (40ml),2767.0,3690.0,33.36
FENTY BEAUTY Match Stix Ph Color-Shifting Skinstick - Strawberry Pop (7.1 g),2660.0,3325.0,25.0
FENTY BEAUTY Match Stix Matte Contour Skinstick - Amber Suede (7.1 g),2740.0,3425.0,25.0
Smashbox The Original Photo Finish Smooth & Blur Foundation Primer with Vitamin A & E (30 ml),2767.0,3690.0,33.36
Lakme Unreal Blur Perfect Primer Mattifies & Blurs Pores (30 ml),332.0,359.0,8.13
KIKO Milano Skin Lover Refining Face Powder Foundation - 03 Rosy Milk (10 g),1521.0,1611.0,5.92
Charmacy Milano Matte Foundation - 01 (30ml),967.0,989.0,2.28
FENTY BEAUTY Mini Invisimatte Instant Setting + Blotting Powder - Universal (3.52 g),1660.0,2075.0,25.0
FENTY BEAUTY Diamond Bomb - Lavender Luv'R (8 g),3580.0,4475.0,25.0
Akind Drop A Hint Hydrating Skin Tint SPF 30 PA+++ Dewy Skin & Sun Protection - 140 Beige (30ml),397.0,477.0,20.15
Charmacy Milano Matte Foundation - 06 (30ml),967.0,989.0,2.28
M.A.C Studio Fix Powder Plus Foundation - NC35 (12 g),2550.0,3000.0,17.65
Swiss Beauty Pearl Illuminator Makeup Base - 01 Golden Pink (35g),246.0,263.0,6.91
Renee Cosmetics Pro Banana Powder - Medium (10 g),341.0,357.0,4.69
Smashbox Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25 - Light Neutral (40ml),2737.0,3650.0,33.36
Benefit Cosmetics The POREfessional Power Mini (4 g),1791.0,1990.0,11.11
FENTY BEAUTY Match Stix Matte Contour Skinstick - Suedish (7.1 g),2740.0,3425.0,25.0
FENTY BEAUTY Eaze Drop Blurring Skin Tint - 10 (32 ml),3320.0,4150.0,25.0
KIKO Milano So Chic Trio Blush - 02 Velvet Peach (4.5 ml),1266.0,1341.0,5.92
RENEE Face Gloss With Hyaluronic Acid Face Primer - Rose Gold (10ml),461.0,479.0,3.9
Charmacy Milano Matte Foundation - 02 (30ml),967.0,989.0,2.28
RENEE Bollywood Filter (45 g),637.0,232.0,-63.58
Too Faced Cloud Crush - Headliner (4.3 g),2040.0,2550.0,25.0
M.A.C Mineralize Skinfinish Highlighter - Lightscapade (10 g),3000.0,4000.0,33.33
Benefit Cosmetics Hoola Matte Mini Bronzer - Brown (2.5g),1791.0,1990.0,11.11
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Natural Beige (13.5ml),2100.0,2800.0,33.33
M.A.C Sheertone Blush - Peaches (6g),2480.0,3100.0,25.0
Armani Luminous Silk Perfect Natural Glow Foundation - 5.5-Medium Peach (30 ml),4760.0,5600.0,17.65
